City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ushuaia,AR,42.46,broken clouds,-54.8,-68.3,Albatross Hotel
1,Krasnoselkup,RU,31.48,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
2,Kendari,ID,76.59,overcast clouds,-3.945,122.4989,Hotel Wixel
3,Dali,CN,61.83,broken clouds,25.7,100.1833,Dali Travelling With Hostel
5,Jamestown,US,54.72,mist,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Ahipara,NZ,54.81,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
7,Saldanha,ZA,68.05,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
8,Busselton,AU,52.88,scattered clouds,-33.65,115.3333,Observatory Guest House
9,Nelson Bay,AU,61.0,few clouds,-32.7167,152.15,Mantra Nelson Bay
10,Iskateley,RU,40.06,broken clouds,67.6803,53.1512,Hostel Agat
11,Atuona,PF,77.11,broken clouds,-9.8,-139.0333,Villa Enata
12,Thompson,CA,50.16,overcast clouds,55.7435,-97.8558,Burntwood Hotel
13,Ponta Do Sol,PT,74.03,light rain,32.6667,-17.1,Hotel do Campo
14,Kondopoga,RU,46.08,overcast clouds,62.2057,34.2614,Karelia Hotel
15,Mar Del Plata,AR,57.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
16,Vaini,TO,75.36,overcast clouds,-21.2,-175.2,Keleti Beach Resort
17,Cabo San Lucas,MX,82.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
18,Biak,ID,75.92,scattered clouds,-0.9131,122.8766,Penginapan Kim
19,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
21,Tuktoyaktuk,CA,30.61,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
22,Kaitangata,NZ,47.59,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
23,Rikitea,PF,68.14,few clouds,-23.1203,-134.9692,People ThankYou
24,Stokmarknes,NO,55.38,clear sky,68.5646,14.9108,Vesterålen Kysthotell
25,College,US,40.89,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
26,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
27,Husavik,IS,35.15,snow,66.0449,-17.3389,Bjarnabúð
28,Erenhot,CN,64.2,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
29,Avarua,CK,73.45,few clouds,-21.2078,-159.775,Paradise Inn
30,Punta Arenas,CL,39.31,broken clouds,-53.15,-70.9167,Hotel Hain
